1.1_dem_number,1.2_res_number,1.3_op_para,1.4_date_adopt,1.5_substance,1.6.1_new_res_strict,1.6.2_new_res,1.6.3_new_dem,1.7.1_participant,1.7.2_party,1.8.1_ind_var_coder,1.8.2_dep_var_coder_1,1.8.2_dep_var_coder_2,2.1.1_civil_war,2.1.2_agenda_item  ,2.2_year_adopt,2.3_type_situation,2.4_region,2.5.1_start_date,2.5.2_end_date,2.5.3_duration,2.5.4_continuation,2.5.5_post,2.6_intensity,2.7_number_war_parties,2.8_foreign,2.9_battle_deaths,2.10.1_pol_instab_one_yr, 2.10.2_pol_instab_three_yr ,2.10.3_political_shock,2.10.4_MAGFAIL,2.10.5_MAGFAIL_lag,2.10.6_MAGFIGHT,2.10.7_MAGFIGHT_lag,2.10.8_MAGAREA,2.10.9_MAGAREA_lag,2.11.1_non-renew_nat_res,2.11.2_lootable_nat_res,2.12.1_proximate_civil_war,2.12.2_proximate_civil_war_number,2.13.1_depth_of_demand_final,2.13.2_depth_of_demand_coder_1,2.13.3_depth_of_demand_coder_2,3.1.1_sanctions_committee,3.1.2_ajudicative_com,3.1.3_investigative_trib,3.1.4_crim_trib,3.1.5_other_commission,3.1.6_sub_org_old_new,3.2_SC_mission,3.3.1_trad_peac_op,3.3.2_multidimensional_peace_op,3.3.3_civ_peace_building,3.3.4_transitional_admin,3.3.5_civ_pol,3.3.6_civ_obvs,3.3.7_commission,3.3.8_consular_commission,3.3.9_SRSG,3.3.10_UN_mediation,3.3.11_panel_of_experts,3.3.12_ICC,3.3._UN_field_old_new,3.4.1_peace_op,3.4.2_peace_op_old_new,3.4.3_UN_armed,3.4.4_UN_unarmed,3.4.5_auth_non-UN,3.4.6_unauth_non-UN,3.5.1_SC_seizure,3.5.2_SC_seizure_relationship,3.5.3_SC_seizure_date,3.5.4_SC_seizure_period,3.6.1_P5_consensus_two_year,3.6.2_P5_consensus_four_year,3.7_prior_res_situation,3.8.1_prior_res_demand_full,3.8.1_prior_res_demand_partial,3.9_prior_consent,3.10_SG_report,4.1.1_res_intro,4.1.2_res_intro_relationship,4.2.1_abstentions_CHI,4.2.2_absentions_F,4.2.3_absentions_RUS,4.2.4_absentions_UK,4.2.5_absentions_US,4.2.6_E10_negative,4.2.7_absent_vote,4.2.8_yes_vote,4.2.9_absention_vote,4.2.10_no_vote,5.1_mandatory_horatory,5.2.1_military_conduct,5.2.2_police,5.2.3_humanitarian,5.2.4_POC,5.2.5_freedom_of_movement,5.2.6_implement_peace_agree,5.2.7_internal_politics,5.2.8_dialogue,5.2.9_elections,5.2.10_economic,5.2.11_media,5.2.12_transitional_justice,5.2.13_engage_in_dialogue,5.2.14_provide_assistance,5.2.15_respect_sanctions,5.2.16_monitor,5.2.17_provide_UN_security,5.2.18_cooperate_UN,5.2.19_report_UNSC,5.2.20_report_SG,5.3.1_military,5.3.2_humanitarian,5.3.3_governence,5.3.4_external,5.3.5_cooperation_with_UN,5.4_functional_req,5.5_int_peace_and_security,5.6.1_op_chp_VI,5.6.2_op_chp_VII,5.6.3_op_chp_VIII,5.6.4_pream_chp_VII,5.6.5_pream_chp_VIII,5.6.6_charter_article,5.6.7_other treaties,5.7.1_incentives conditioned upon compliance  (3.7),5.7.2_threat of loss of benefits  (3.8),5.7.3_threat_force,5.8.1_none,5.8.2_imposed,5.8.3_previous,5.8.4_threat,5.8.5_threat_other,5.9.1_general_trade,5.9.2_arms,5.9.3_oil,5.9.4_natural_resource,5.9.5_financial,5.9.6_travel,5.9.7_targeted,5.9.8_diplomatic,5.10.1_council,5.10.2_commission,5.10.3_consular_commission,5.10.4_subcommission,5.10.5_committee,5.10.6_subcommittee,5.10.7_panel_of_experts,5.10.8_UN_field,5.10.9_SC,5.10.10_president_of_SC,5.10.11_SG,5.10.12_other_UN,5.10.13_other_int_org,5.10.14_state,5.10.15_fact_finding_mission,5.10.16_monitoring_mech_old_new,5.10.17_monitoring_mech_dummy,5.11_SG_report_request,5.12.1_UN_organ,5.12.2_member_state,5.12.3_all_states,5.12.4_regional_org,5.12.5_multilateral_peace_force,5.13_sunset_clause,8.1.1_short_term_final,8.1.2_medium_term_final,8.2.1_short_term_coder_1,8.2.2_medium_term_coder_1,8.3.1_short_term_coder_2,8.3.2_medium_term_coder_2
713.0701,713,7,9/25/91,refrain from any action which might contribute to increasing tension and to impeding or delaying a peaceful and negotiated outcome to the conflict in Yugoslavia which would permit all Yugoslavs to decide upon and to construct their future in peace,0,0,1,0,0,AH,NA,NA,SFR Yugoslavia,SFR Yugoslavia,1991,1,12,8/1/90,8/5/01,420,3602,0,3,4,0,9113,0,0,0,5,0,5,0,4,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,CAN,6,9/10/91,15,1,1,0,0,0,0,0,AUS BEL FRN RUS UKG,7,0,0,0,0,0,0,0,15,0,0,calls upon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,9,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
1212.0701,1212,7,11/25/98,Pursue the reform and strengthening of Haiti's system of justice.,0,0,1,1,1,RoG,MM,JC,Haiti,Haiti,1998,2,14,4/2/89,12/31/04,3524,2228,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1,0,284,0,0,HAI,1,10/3/91,2610,1,3,21,0,0,0,1,ARGCANCHLCOSFRNUSAVEN,7,1,0,1,0,0,0,0,13,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2,2,2,1,1
1212.0601,1212,6,11/25/98,Fulfill their responsibilities  and negotiateurgently an end to the crisis.,0,0,1,1,1,RoG,MM,JC,Haiti,Haiti,1998,2,14,4/2/89,12/31/04,3524,2228,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1,0,284,0,0,HAI,1,10/3/91,2610,1,3,21,0,0,0,1,ARGCANCHLCOSFRNUSAVEN,7,1,0,1,0,0,0,0,13,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,2,2,2,1
1212.0101,1212,1,11/25/98,Pursue its plans in respect to developing a professional self-sustaining fully functioning national police.,1,1,1,1,1,RoG,MM,JC,Haiti,Haiti,1998,2,14,4/2/89,12/31/04,3524,2228,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1,0,284,0,0,HAI,1,10/3/91,2610,1,3,21,1,1,0,1,ARGCANCHLCOSFRNUSAVEN,7,1,0,1,0,0,0,0,13,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,2,3,3,4,2
1141.0101,1141,1,11/28/97,Pursue its plans in respect to developing a professional self-sustaining fully functioning national police.,1,1,1,1,1,RoG,MM,JC,Haiti,Haiti,1997,2,14,4/2/89,12/31/04,3162,2590,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,4,2,1,1525,0,0,0,HAI,1,10/3/91,2248,2,3,20,0,0,0,1,ARGCANCHLCOSFRNUSAVENPOR,7,0,0,0,0,0,0,0,15,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,3,3,3,4,3
944.0201,944,2,9/29/94,Respond promptly and positively to the UNSG's request for contributions to UNMIH.,1,1,1,0,0,RoG,NA,NA,Haiti,Haiti,1994,2,14,4/2/89,12/31/04,2006,3746,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,2,6,2,0,0,21000,0,HAI,1,10/3/91,1092,1,1,10,1,1,0,1,ARG CAN FRN USA VEN HAI SPN ,7,0,0,1,0,0,0,0,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA
1141.0301,1141,3,11/28/97,should it be needed provide further international assistance to the Haitian national police,0,0,1,0,0,RoG,NA,NA,Haiti,Haiti,1997,2,14,4/2/89,12/31/04,3162,2590,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,4,2,1,1525,0,0,0,HAI,1,10/3/91,2248,2,3,20,3,1,0,1,ARGCANCHLCOSFRNUSAVENPOR,7,0,0,0,0,0,0,0,15,0,0,Affirms also,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
1141.0601,1141,6,11/28/97,Provide adequate support for the actions undertaken by the UN and by member states pursuant to this and other resolutions.,0,0,1,0,0,RoG,NA,NA,Haiti,Haiti,1997,2,14,4/2/89,12/31/04,3162,2590,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,4,2,1,1525,0,0,0,HAI,1,10/3/91,2248,2,3,20,3,1,0,1,ARGCANCHLCOSFRNUSAVENPOR,7,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
1141.0801,1141,8,11/28/97,The commitment of the international community to a long-term programme of support.,0,0,1,0,0,RoG,NA,NA,Haiti,Haiti,1997,2,14,4/2/89,12/31/04,3162,2590,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,4,2,1,1525,0,0,0,HAI,1,10/3/91,2248,2,3,20,1,1,0,1,ARGCANCHLCOSFRNUSAVENPOR,7,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
1141.0901,1141,9,11/28/97,Make voluntary contributions to the trust fund for the support of the Haitian National Police.,0,0,1,0,0,RoG,NA,NA,Haiti,Haiti,1997,2,14,4/2/89,12/31/04,3162,2590,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,4,1,1,1525,0,0,0,HAI,1,10/3/91,2248,2,3,20,4,1,0,1,ARGCANCHLCOSFRNUSAVENPOR,7,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
1212.0401,1212,4,11/25/98,Provide appropriate support for the actions undertaken by the UN and member states regarding this and other relevant resolutions. ,0,0,1,0,0,RoG,NA,NA,Haiti,Haiti,1998,2,14,4/2/89,12/31/04,3524,2228,0,1,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1,0,284,0,0,HAI,1,10/3/91,2610,1,3,21,3,1,0,1,ARGCANCHLCOSFRNUSAVEN,7,1,0,1,0,0,0,0,13,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA
